Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
919,4371,Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?,Wraz ze wzrostem prędkości kąt widzenia jest większy.,Wraz ze wzrostem prędkości kąt widzenia jest mniejszy.,Nie ma żadnego wpływu.,B,,B,pjm4371.webm,pjm4371a.webm,pjm4371b.webm,pjm4371c.webm,What is the influence of the speed of driving on the angle of view of a passenger car's driver?,The higher the speed the larger the angle of view.,The higher the speed the smaller the angle of view.,It has no influence.,Welchen Einfluss auf die Fahrgeschwindigkeit hat der Sehwinkel des PKW-Führers?,Mit zunehmender Geschwindigkeit wird der Sehwinkel größer.,Mit zunehmender Geschwindigkeit wird der Sehwinkel kleiner.,sie hat keinen Einfluss auf den Sehwinkel.,Як швидкість руху впливає на кут огляду водія легкового автомобіля?,Зі збільшенням швидкості кут огляду стає більшим.,Зі збільшенням швидкості кут огляду стає меншим.,Швидкість не має впливу.,
920,4372,Jedziesz z prędkością 80 km/h. Jaka pozycja początkowa zapewni Ci optymalny tor jazdy po zakręcie?,Na środku drogi  z częściowym przekroczeniem widocznej linii.,Przy linii rozdzielającej pasy ruchu - na prawej połowie jezdni.,Przy prawej krawędzi jezdni.,B,IMG_0027orgbm.jpg,B B1,,,,,You are driving at the speed of 80 km/h. What starting position will ensure optimal trajectory on the bend?,In the middle of the road  partially crossing the line shown.,By the line dividing the lanes - on the right side of the roadway.,By the right edge of the road.,Sie fahren mit einer Geschwindigkeit von 80 km/h. Welche Anfangsposition gewährleistet Ihnen die optimale Fahrlinie in der Kurve?,In der Straßenmitte  mit teilweiser Überschreitung der sichtbaren Linie.,An der Linie  die Fahrspuren voneinander trennt - auf der rechten Fahrbahnhälfte.,Am rechten Fahrbahnrand.,Ви їдете зі швидкістю 80 км/год. Яка початкова позиція забезпечить Вам оптимальний шлях руху по кривій повороту?,Посередині дороги  з частковим перетином лінії  що розділяє смуги.,Біля лінії  що розділяє смуги руху - по правій половині проїжджої частини.,Біля правого краю проїжджої частини.,"<img src=""IMG_0027orgbm.jpg"">"
921,4373,Jedziesz z prędkością 90 km/h. Jaka pozycja początkowa zapewni Ci optymalny tor jazdy po zakręcie?,Na środku jezdni  z częściowym przekroczeniem widocznej linii.,Przy linii rozdzielającej pasy ruchu - na prawej połowie jezdni.,Przy prawej krawędzi jezdni.,C,IMG_9130d8orgbm.jpg,B B1,pjm4373.webm,pjm4373a.webm,pjm4373b.webm,pjm4373c.webm,You are driving at the speed of 90 km/h. What starting position will ensure optimal trajectory on the bend?,In the middle of the road  partially crossing the line shown.,By the line dividing the lanes - on the right side of the roadway.,By the right edge of the road.,Sie fahren mit einer Geschwindigkeit von 90 km/h. Welche Anfangsposition gewährleistet Ihnen die optimale Fahrlinie in der Kurve?,In der Straßenmitte  mit teilweiser Überschreitung der sichtbaren Linie.,An der Linie  die Fahrspuren voneinander trennt - auf der rechten Hälfte der Fahrbahn.,Am rechten Fahrbahnrand.,Ви їдете зі швидкістю 90 км/год. Яка початкова позиція забезпечить вам оптимальний шлях руху по кривій повороту?,Посередині проїжджої частини  з частковим перетином лінії  що розділяє смуги.,Біля лінії  що розділяє смуги руху - по правій половині проїжджої частини.,Біля правого краю проїжджої частини.,"<img src=""IMG_9130d8orgbm.jpg"">"
922,4374,Jak powinieneś postąpić  aby rozpędzić samochód osobowy na płaskim odcinku drogi?,Wykorzystać maksymalne obroty silnika na każdym biegu.,Przyspieszyć do takiej prędkości na niższym biegu  by po włączeniu następnego biegu pojazd nie szarpał i nie dusił się.,W każdym przypadku zwiększyć biegi o dwa.,B,,B,,,,,How should you behave in order to accelerate the passenger car properly on a flat part of the road?,Use the engine revolutions maximally in every gear.,Accelerate to such speed in lower gear that after switching to the next gear the vehicle does not jerk and does not choke.,In every case increase the gear by two.,Was soll man machen  damit ein PKW auf einem flachen Straßenbaschnitt auf Hochtouren kommt?,Die Motordrehungen in jedem Gang maximal in Anspruch nehmen.,Im niedrigeren Gang bis zu einer solchen Geschwindigkeit beschleunigen  dass nach dem Einschalten des nächsten Ganges das Fahrzeug weder rüttelt noch erstickt,In jedem Fall die Gänge um zwei erhöhen.,Як слід діяти  щоб розігнати легковий автомобіль на рівній ділянці дороги?,Використати максимальні обороти двигуна на кожній передачі.,Розігнатися до такої швидкості на нижчій передачі  щоб автомобіль не шарпався і не захлинався після переходу на вищу передачу.,У кожному випадку збільшити передачі на дві.,
923,4375,W jaki sposób wolno Ci przewozić rowery samochodem osobowym?,Umieszczone w uchwytach z tyłu pojazdu ograniczającym czytelność tablicy rejestracyjnej.,Umieszczone w uchwytach z tyłu pojazdu zasłaniającym jedno światło pojazdu.,Umieszczone w uchwytach zamontowanych na bagażniku dachowym.,C,,B,pjm4375.webm,pjm4375a.webm,pjm4375b.webm,pjm4375c.webm,In what way are you allowed to carry bicycles on a passenger car?,Placed in holders at the rear of the car and limiting the legibility of the registration plate.,Placed in holders at the rear of the car and covering one side light of the car.,Placed in holders fixed on the roof rack.,Auf welche Art und Weise darf man Fahrräder mit dem PKW befördern?,Untergebracht in einem am PKW-Heck befestigten Tragbügel  der die Lesbarkeit des Nummernschildes erschwert.,Untergebracht in einem am PKW-Heck befestigten Tragbügel  der ein Standlicht des Fahrzeuges verdeckt.,Untergebracht in Tragbügeln  die auf dem Dachgepäckträger montiert sind.,Яким чином дозволяється перевозити велосипеди в легковому автомобілі?,Розміщені в тримачах в задній частині автомобіля  навіть  якщо закривають номерні знаки автомобіля.,Розміщені в тримачах в задній частині автомобіля  навіть якщо закривають одну автомобільну фару.,Розміщені в тримачах  встановлених на даху автомобіля на спеціальному багажнику.,
924,4376,Czy za tym znakiem informacyjnym  prawym pasem ruchu mogą poruszać się jedynie uprawnione pojazdy?,,,,Tak,9148orgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4376.webm,,,,Is traffic allowed only for authorised vehicles on the right lane of the road beyond this sign?,,,,Ist auf der Straße hinter diesem Zeichen  auf der rechten Fahrspur  nur Verkehr von berechtigten Fahrzeugen zugelassen?,,,,Чи після проїзду цього інформаційного знаку  у правій смузі можуть рухатися лише ті транспортні засоби  які мають на це повноваження?,,,,"<img src=""9148orgbm.jpg"">"
925,4378,Czy w tej sytuacji  zgodnie z zasadą ograniczonego zaufania  należy rozpocząć hamowanie?,,,,Tak,AK_D08-03_18_org_2.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4378.webm,,,,Should you limit your trust to this traffic user in this situation and start braking?,,,,Hat man in der dargestellten Situation das Vertrauen einzuschränken und mit der Bremsung zu beginnen?,,,,Чи у цій ситуації  відповідно до принципу обмеженої довіри  слід розпочинати гальмування?,,,,"<video src=""AK_D08-03_18_org_2.webm"" controls>"
926,4379,"Czy widoczny na jezdni napis ""STOP"" potwierdza oznakowanie wlotu na skrzyżowanie znakiem pionowym ""stop""?",,,,Tak,0288D14MM_aorgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4379.webm,,,,"Does the word ""STOP"" on the roadway confirm the marking of the entry to the junction with a vertical ""stop"" sign?",,,,"Bestätigt die auf der Fahrbahn befindliche Aufschrift ""STOPP"" die Kennzeichnung der Einfahrt in eine Kreuzung mit dem senkrechten Zeichen ""Stopp""?",,,,Чи розмітку STOP  яку Ви бачите на проїжджій частині  підтверджує вертикальний знак STOP на в’їзді на перехрестя?,,,,"<img src=""0288D14MM_aorgbm.jpg"">"
927,4381,Czy w przedstawionej sytuacji masz prawo skręcić w lewo?,,,,Nie,065bD11orgbez maski.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4381.webm,,,,Are you allowed to turn left in this situation?,,,,Darfst du in dieser Situation links abbiegen?,,,,Чи у представленій ситуації Ви маєте право повертати вліво?,,,,"<img src=""065bD11orgbez maski.jpg"">"
928,4384,Czy w tej sytuacji wolno Ci skręcić w prawo?,,,,Nie,IMG_9402aorgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4384.webm,,,,Are you allowed to turn right in this situation?,,,,Dürfen Sie in dieser Situation rechts abbiegen?,,,,Чи дозволяється Вам повернути вправо у цій ситуації?,,,,"<img src=""IMG_9402aorgbm.jpg"">"
929,4385,Czy w tej sytuacji z pasa ruchu  który zajmujesz  dozwolone jest wykonanie skrętu w prawo?,,,,Tak,IMG_3170orgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4385.webm,,,,In this situation can you turn right from the traffic lane you are occupying?,,,,Dürfen Sie in dieser Situation rechts von der Fahrspur abbiegen  auf der Sie sich befinden?,,,,Чи можна в цій ситуації повертати вправо зі смуги  на якій Ви перебуваєте?,,,,"<img src=""IMG_3170orgbm.jpg"">"
930,4386,Czy wjeżdżając z pola na drogę twardą masz obowiązek zachować szczególną ostrożność?,,,,Tak,D36_35org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4386.webm,,,,Should you exercise particular caution when emerging from the field onto a hardened road?,,,,Soll man beim Einfahren vom Feldweg auf eine befestigte Straße besonders vorsichtig zu sein?,,,,Чи потрібно бути особливо обережним  виїжджаючи з поля на дорогу з твердим покриттям?,,,,"<video src=""D36_35org.webm"" controls>"
931,4388,Czy w tej sytuacji masz obowiązek zachować szczególną ostrożność?,,,,Tak,D18_6org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4388.webm,,,,Are you obliged to exercise particular caution in this situation?,,,,Ist man dazu verpflichtet  in der dargestellten Situation besonders vorsichtig zu sein?,,,,Чи у цій ситуації Ви зобов’язані бути особливо обережним?,,,,"<video src=""D18_6org.webm"" controls>"
932,4391,Czy w tej sytuacji powinieneś być przygotowany do zatrzymania pojazdu?,,,,Tak,2965orgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm4391.webm,,,,Should you be prepared to stop your vehicle in this situation?,,,,Soll man in dieser Situation darauf vorbereitet sein  dass das Fahrzeug anzuhalten sein kann?,,,,Чи у цій ситуації Ви повинні бути готовим зупинити автомобіль?,,,,"<img src=""2965orgbm.jpg"">"
933,4394,Czy w tej sytuacji uzasadnione jest zmniejszenie prędkości podczas omijania?,,,,Tak,W13(25).webm,A B C D T AM A1 A2 B1 C1 D1,pjm4394.webm,,,,Is it justifiable to decrease the speed when passing in this situation?,,,,Ist in dieser Situation die Verringerung der Geschwindigkeit während des Umfahrens begründet?,,,,Чи виправдано в даній ситуації зниження швидкості при об'їзді (обминанні)?,,,,"<video src=""W13(25).webm"" controls>"
934,4395,Czy w tej sytuacji masz prawo jechać z włączonymi światłami drogowymi?,,,,Nie,B.1.6.6.Bzorgbezmaski.webm,A B C D A1 A2 B1 C1 D1,,,,,Can you drive with high-beam lights switched on in this situation?,,,,Darf man in dieser Situation mit eingeschaltetem Fernlicht fahren?,,,,Чи у цій ситуації Ви маєте право їхати з увімкненим дальнім світлом фар?,,,,"<video src=""B.1.6.6.Bzorgbezmaski.webm"" controls>"
935,4396,Czy w tej sytuacji zamiast świateł mijania wolno Ci używać świateł do jazdy dziennej?,,,,Tak,W14(30).webm,B C D C1 D1,pjm4396.webm,,,,Are you allowed in this situation to use daytime running lights instead of low beam lights?,,,,Darf man in der dargestellten Situation statt Abblendlicht Tagfahrlicht benutzen?,,,,Чи дозволено Вам у цій ситуації увімкнути денні ходові вогні замість ближнього світла фар?,,,,"<video src=""W14(30).webm"" controls>"
936,4397,Czy w tej sytuacji powinieneś użyć sygnału dźwiękowego?,,,,Nie,W17(14 18 19)org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4397.webm,,,,Should you use the horn in this situation?,,,,Soll man in dieser Situation das Schallsignal benutzen?,,,,Чи у цій ситуації потрібно застосувати звуковий сигнал?,,,,"<video src=""W17(14 18 19)org.webm"" controls>"
937,4409,Czy na tak oznakowanej drodze wolno Ci poruszać się autobusem o nacisku osi pojedynczej wynoszącym 10 ton?,,,,Tak,IMG_3747d8_org poprawione1.jpg,D,,,,,Are you allowed to drive a bus with a single axle load of 10 tons on a road marked in such a way?,,,,Darfst du auf einer so gekennzeichneten Straße mit einem Bus mit Einzelachslast von 10 Tonnen fahren?,,,,,,,,"<img src=""IMG_3747d8_org poprawione1.jpg"">"
938,4410,Kierujesz autobusem wykonującym odpłatny przewóz osób na regularnych liniach. Czy w tej sytuacji wolno Ci korzystać w dowolnym czasie z prawego pasa ruchu?,,,,Tak,IMG_0238b_org.jpg,D D1,,,,,You are driving a bus which performs paid transport on regular lines. Are you allowed to use the right lane at any time in this situation?,,,,Du lenkst einen Autobus  der Personen als Linienbus entgeltlich befördert. Darfst du in dieser Situation zu jedem beliebigen Zeitpunkt die rechte Fahrspur in Anspruch nehmen?,,,,,,,,"<img src=""IMG_0238b_org.jpg"">"
939,4411,Czy w tej sytuacji  umieszczone po prawej stronie na linii przerywanej odblaskowe elementy punktowe barwy białej rozdzielają pasy ruchu?,,,,Tak,IMG_9746org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Do these white reflective road studs placed on the right side on the dashed line divide the lanes in this situation?,,,,Trennen die weißfarbigen Rückstrahler  untergebracht auf der rechten Seite der gestrichelten Linie  die Fahrspuren voneinander?,,,,Чи у цій ситуації білі пунктові світловідбивачі  розміщені праворуч на переривчастій лінії  розділяють смуги руху?,,,,"<img src=""IMG_9746org.jpg"">"
940,4413,Zamierzasz skręcić w lewo  a pojazd nadjeżdżający z prawej strony chce jechać na wprost. Czy masz przed nim pierwszeństwo?,,,,Nie,KW_D22_454_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4413.webm,,,,You intend to turn left and the vehicle approaching from the right plans to go straight. Have you got the right of way over this vehicle?,,,,Sie möchten  links abbiegen und das von der rechten Seite kommende Fahrzeug plant  geradeaus zu fahren. Haben Sie Vorfahrt vor ihm?,,,,Ви збираєтеся повернути вліво  а транспортний засіб  що наближається справа  хоче їхати прямо. Чи Ви маєте перевагу перед ним?,,,,"<video src=""KW_D22_454_org.webm"" controls>"
941,4415,Czy na tak oznakowanej drodze dozwolone jest poruszanie się samochodem ciężarowym o nacisku osi pojedynczej wynoszącym 10 ton?,,,,Tak,IMG_3747d8_org poprawione1.jpg,C,pjm4415.webm,,,,Is it allowed to drive a lorry of a single axle load of 10 tons on the road marked in such a way?,,,,Darf man auf einer so gekennzeichneten Straß mit einem LKW mit Einzelachslast von 10 Tonnen fahren?,,,,,,,,"<img src=""IMG_3747d8_org poprawione1.jpg"">"
942,4444,Czy tak pozostawiony na postoju bez opieki ciągnik jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?,,,,Nie,IMG_5772_1org.jpg,T,,,,,Is the tractor left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Ist der in diesem Zustand  ohne Aufsicht gelassene landwirtschaftliche Schlepper richtig davor gesichert  dass er von einer unbefugten Person in Gang gesetzt wird?,,,,,,,,"<img src=""IMG_5772_1org.jpg"">"
943,4446,Czy podczas postoju wolno Ci oddalić się od ciągnika  jeśli silnik jest w ruchu?,,,,Nie,IMG_5770_1org.jpg,T,,,,,Are you allowed to move away from the parked tractor  if the engine is running?,,,,Darf man sich während des Aufenthaltes von dem landwirtschaftlichen Schlepper entfernen  wenn der Motor läuft?,,,,,,,,"<img src=""IMG_5770_1org.jpg"">"
944,4447,Czy tak pozostawiony na postoju bez opieki motocykl jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?,,,,Nie,IMG_0014org.jpg,A A1 A2,,,,,Is the motorcycle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Ist das in diesem Zustand  ohne Aufsicht stehen gelassene Motorrad richtig davor gesichert  dass er von einer unbefugten Person in Gang gesetzt wird?,,,,,,,,"<img src=""IMG_0014org.jpg"">"
945,4448,Czy podczas postoju wolno Ci oddalić się od motocykla  jeśli silnik jest w ruchu?,,,,Nie,IMG_6164org.jpg,A A1 A2,,,,,Are you allowed to move away from the parked motorcycle  if the engine is running?,,,,Darfst man sich von dem Motorrad während des Parkens entfernen  wenn der Motor läuft?,,,,,,,,"<img src=""IMG_6164org.jpg"">"
946,4449,Czy tak pozostawiony na postoju bez opieki autobus jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?,,,,Nie,D35_04org.jpg,D D1,,,,,Is the bus left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Ist der in diesem Zustand  ohne Aufsicht gelassene Bus richtig davor gesichert  dass er von einer unbefugten Person in Gang gesetzt wird?,,,,,,,,"<img src=""D35_04org.jpg"">"
947,4450,Czy tak pozostawiony na postoju bez opieki pojazd jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?,,,,Nie,D34_004org.jpg,C C1,,,,,Is the vehicle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Ist das in diesem Zustand  ohne Aufsicht gelassene Fahrzeug richtig davor gesichert  dass es von einer unbefugten Person in Gang gesetzt wird?,,,,,,,,"<img src=""D34_004org.jpg"">"
948,4451,Czy podczas postoju wolno Ci oddalić się od pojazdu  jeśli silnik jest w ruchu?,,,,Nie,IMG_6160org.jpg,C C1,,,,,Are you allowed to move away from the parked vehicle  if the engine is running?,,,,Darf man während des Aufenthaltes des Fahrzeugs  sich von ihm entfernen  wenn der Motor läuft?,,,,,,,,"<img src=""IMG_6160org.jpg"">"
949,4452,Czy podczas postoju wolno Ci oddalić się od autobusu  jeśli silnik jest w ruchu?,,,,Nie,D35_06org.jpg,D D1,,,,,Are you allowed to move away from the parked bus if the engine is running?,,,,Darf man sich während des Aufenthaltes von dem Bus entfernen  wenn der Motor läuft?,,,,,,,,"<img src=""D35_06org.jpg"">"
950,4454,Czy tak pozostawiony na postoju bez opieki pojazd jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?,,,,Nie,Sequence01_6org.webm,B,pjm4454.webm,,,,Is the vehicle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Ist das in diesem Zustand während des Aufenthaltes ohne Aufsicht gelassene Fahrzeug richtig davor gesichert  von einer unbefugten Person in Gang gesetzt zu werden?,,,,Чи так залишений без нагляду транспортний засіб належним чином захищений від приведення в рух не уповноваженою особою?,,,,"<video src=""Sequence01_6org.webm"" controls>"
951,4458,Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?,,,,Tak,504_D27KW_org_2.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4458.webm,,,,You intend to turn right. Are you obliged to yield the right of way to the vehicle approaching from the left?,,,,Sie möchten rechts abbiegen. Sollen Sie dem von links kommenden Fahrzeug die Vorfahrt geben?,,,,Ви збираєтеся повернути вправо. Чи зобов'язані Ви дати дорогу транспортному засобу  що наближається зліва?,,,,"<video src=""504_D27KW_org_2.webm"" controls>"
952,4472,W którym z wymienionych przypadków regularne wykonywanie badania technicznego pojazdu ma wpływ na jego bezpieczne używanie w ruchu drogowym?,Wyłącznie po upływie okresu gwarancji pojazdu.,Tylko w okresie gwarancji pojazdu.,W całym okresie używania pojazdu.,C,,B B1,pjm4472.webm,pjm4472a.webm,pjm4472b.webm,pjm4472c.webm,In which of the listed cases regular technical inspections of a vehicle has influence on its safe use in road traffic?,Only after the warranty period expiry.,Only during warranty period.,Throughout the use period.,In welchem der genannten Fälle wirkt sich regelmäßige Durchführung der technischen Untersuchung des Fahrzeuges auf seine Benutzung im Straßenverkehr aus?,Ausschließlich nach Ablauf der Garantiezeit des Fahrzeuges.,Nur während der Garantiedauer des Fahrzeuges.,Während der gesamten Benutzungsdauer des Fahrzeuges.,У якому з наведених випадків регулярний технічний огляд транспортного засобу впливає на його безпечну експлуатацію в дорожньому русі?,Виключно після закінчення гарантійного терміну експлуатації автомобіля.,Тільки протягом гарантійного терміну експлуатації автомобіля.,Протягом усього періоду експлуатації автомобіля.,
953,4474,Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?,,,,Nie,KW_D16_356org_2.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4474.webm,,,,You intend to follow the road ahead. Are you obliged to yield the right of way to the vehicle approaching from the left?,,,,Sie haben es vor  die Fahrt geradeaus fortzusetzen. Haben Sie die Pflicht  dem von links kommenden Fahrzeug Vorfahrt zu geben?,,,,Ви збираєтеся їхати прямо. Чи зобов'язані Ви дати дорогу транспортному засобу  що наближається зліва?,,,,"<video src=""KW_D16_356org_2.webm"" controls>"
954,4475,Skręcasz w prawo  a kierujący nadjeżdżający z przeciwka zamierza skręcić w lewo. Czy masz przed nim pierwszeństwo?,,,,Tak,KW_D22_436_org_2.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4475.webm,,,,You are turning right and the driver of the oncoming vehicle intends to turn left. Have you got priority over him?,,,,Sie biegen rechts ab und der entgegenkommende Fahrer möchte links abbiegen. Haben Sie die Vorfahrt vor ihm?,,,,Ви повертаєте вправо  а зустрічний водій збирається повернути вліво. Чи Ви маєте перевагу перед ним?,,,,"<video src=""KW_D22_436_org_2.webm"" controls>"
955,4479,O czym ostrzega  świecąca się na czerwono w czasie jazdy samochodem osobowym  lampka kontrolna z symbolem akumulatora?,O uszkodzeniu akumulatora.,O całkowitym rozładowaniu się akumulatora.,O nieprawidłowo działającym ładowaniu akumulatora.,C,B9(42)org.jpg,B,pjm4479.webm,pjm4479a.webm,pjm4479b.webm,pjm4479c.webm,What does the warning light with the battery symbol turned red when on the move warn of?,Of the damage to the battery.,Of a total discharge of the battery.,Of faulty operation of battery charging.,"Was signalisiert die während der Fahrt rot leuchtende Kontrolllampe mit dem Symbol ""Batterie""?",Sie signalisiert  dass der Akku beschädigt ist.,Sie signalisiert  dass der Akku total leer ist.,Sie signalisiert  dass der Akku nicht richtig geladen wird.,Про що попереджає значок-символ акумулятора на панелі приладів  який горить червоним кольором під час руху легкового автомобіля?,Про пошкодження акумулятора.,Про повне розрядження акумулятора.,Про проблеми з зарядкою акумулятора.,"<img src=""B9(42)org.jpg"">"
956,4481,Który z wymienionych skutków może zostać wywołany przez kontynuowanie jazdy przy świecącej się na czerwono lampce kontrolnej ciśnienia oleju silnikowego?,Poważne uszkodzenie silnika.,Uszkodzenie hamulców.,Uszkodzenie mechanizmów przeniesienia napędu.,A,B9(41 43 44)org.jpg,B B1,,,,,Which of the following results may be caused by continuing driving when the engine oil pressure warning light is flashing red?,Serious damage to the engine.,Damage to the brakes.,Damage to the  drive transferring mechanisms.,Welche der genannten Folgen können durch die Fortsetzung der Fahrt bei rot leuchtender Kontrolllampe des Motoröldrucks hervorgerufen werden?,Ernsthafte Motorbeschädigung.,Beschädigung der Bremsen.,Beschädigung der Antriebsübertragungsmechanismen.,Який з наведених нижче наслідків може бути викликаний продовженням руху в часі  коли індикатор тиску моторного масла горить червоним?,Серйозне пошкодження двигуна.,Пошкодження гальм.,Пошкодження механізмів передачі приводу.,"<img src=""B9(41 43 44)org.jpg"">"
957,4483,Która osoba ma obowiązek korzystania z pasów bezpieczeństwa?,Osoba przewożona na wózku inwalidzkim.,Kierujący pojazdem.,Kobieta w widocznej ciąży.,B,B2(27 28 30 31)org.jpg,B B1,,,,,Which of the following persons are obliged to use seat belts?,A person carried on a wheelchair.,A vehicle driver.,Visibly pregnant women.,Welche der genannten Personen ist von der Pflicht betroffen  die Sicherheitsgurte zu benutzen?,Eine im Rollstuhl beförderte Person.,Der Fahrzeugführer.,Frauen mit sichtbarer Schwangerschaft.,Хто зобов'язаний користуватися ременями безпеки?,Особа  яка перевозиться в інвалідному візку.,Водій транспортного засобу.,Вагітна жінка.,"<img src=""B2(27 28 30 31)org.jpg"">"
958,4484,Jaką funkcję pełni dobrze ustawiony zagłówek w razie wypadku drogowego?,Chroni czubek głowy.,Chroni kręgi szyjne.,Chroni plecy.,B,B2(29)org.jpg,B,,,,,What is the role of a properly placed headrest in case of a road accident?,It protects the top of the head.,It protects the cervical vertebrae.,It protects the back.,Welche Rolle soll die Kopfstütze beim Verkehrsunfall erfüllen?,Sie schützt die Kopfspitze.,Sie schützt die Halswirbelsäule.,Sie schützt den Rücken.,Яку функцію виконує правильно відрегульований підголівник у разі дорожньо-транспортної пригоди?,Захищає верхню частину голови.,Захищає шийний відділ хребта.,Захищає спину.,"<img src=""B2(29)org.jpg"">"
959,4485,Jaki wpływ ma stosowanie pasów bezpieczeństwa na powstanie obrażeń ciężkich przy zderzeniach czołowych?,zmniejsza ryzyko powstania obrażeń ciężkich lub śmiertelnych.,zwiększa ryzyko powstania obrażeń lekkich.,nie ma wpływu na ryzyko powstania obrażeń bez względu na ich rodzaj.,A,B2(27 28 30 31)org.jpg,B B1,,,,,In head-on crashes the use of seat belts:,reduces the risk of serious or deadly injuries.,increases the risk of light injuries.,does not have influence on the risk of injuries regardless of their kind.,Durch die Anwendung der Sicherheitsgurte wird bei  Frontalzusammenstößen:,das Risiko  dass es schwere bzw. tödliche Verletzungen gibt  gemindert.,das Risiko  dass es leichte Verletzungen gibt  vergrößert.,es wird kein Einfluss auf das Risiko ausgeübt  dass es zu Verletzungen kommt  egal welcher Art.,Як використання ременів безпеки впливає на виникнення серйозних травм при лобових зіткненнях?,Знижує ризик серйозних або смертельних травм.,Підвищує ризик отримання легких травм.,Не впливає на ризик отримання травм незалежно від їх типу.,"<img src=""B2(27 28 30 31)org.jpg"">"
960,4486,W której sytuacji zapięty pas bezpieczeństwa nie będzie działał właściwie?,Gdy jest on skręcony.,Gdy jego górna część jest umieszczona poniżej szyi.,Gdy jest on napięty.,A,B2(27 28 30 31)org.jpg,B B1,pjm4486.webm,pjm4486a.webm,pjm4486b.webm,pjm4486c.webm,In which situation will a fastened safety belt not function properly:,When it is twisted.,When its upper part is located below the neck.,When it is tense.,"Ein angelegter Sicherheitsgurt kann dann nicht richtig funktionieren:
",wenn er zusammengedreht ist.,wenn sein Oberteil unterhalb des Halses angelegt ist.,wenn er straff ist.,У яких ситуаціях пристебнутий ремінь безпеки не функціонуватиме належним чином?,Коли він скручений.,Коли його верхня частина розміщена нижче шиї.,Коли він натягнутий.,"<img src=""B2(27 28 30 31)org.jpg"">"
961,4488,Czy w tej sytuacji miałeś obowiązek włączyć kierunkowskaz?,,,,Tak,MD_D15c_07-00_org_2.webm,A B C D T AM A1 A2 B1 C1 D1,pjm4488.webm,,,,Were you obliged to use an indicator in the situation shown?,,,,Hatten Sie in der dargestellten Situtation den Fahrtrichtungsanzeiger zu benutzen?,,,,Чи в цій ситуації Ви були зобов'язані увімкнути покажчик повороту?,,,,"<video src=""MD_D15c_07-00_org_2.webm"" controls>"
